Rt,temp_hex,temp_ch,temp_chamber,MV,Heater On
2022-09-23 08:11:55,-110.3359375,-182.921875,-116.7578125,-266.6308133946207,Off
2022-09-23 08:11:57,-110.453125,-182.8671875,-116.84375,-265.3967093962554,Off
2022-09-23 08:11:59,-110.5546875,-183.0234375,-116.7890625,-264.39022928471746,Off
2022-09-23 08:12:00,-110.453125,-182.890625,-116.6796875,-265.5316150014883,Off
2022-09-23 08:12:02,-110.3515625,-182.921875,-116.7578125,-266.54660823437973,Off
2022-09-23 08:12:04,-110.453125,-183.0546875,-116.8828125,-265.4065543104108,Off
2022-09-23 08:12:05,-110.484375,-182.921875,-116.734375,-265.1364957138284,Off
2022-09-23 08:12:07,-110.453125,-183.109375,-116.84375,-265.48831040134996,Off
2022-09-23 08:12:08,-110.3671875,-182.890625,-116.7734375,-266.3802017159514,Off
2022-09-23 08:12:10,-110.3671875,-182.8671875,-116.8984375,-266.328125,Off
2022-09-23 08:12:12,-110.4140625,-183.0,-116.7578125,-265.8304855909466,Off
2022-09-23 08:12:13,-110.3671875,-183.078125,-116.828125,-266.356872574979,Off
2022-09-23 08:12:15,-110.453125,-182.890625,-116.7734375,-265.4163296635016,Off
2022-09-23 08:12:17,-110.453125,-183.078125,-116.828125,-265.46875,Off
2022-09-23 08:12:18,-110.296875,-183.1640625,-116.8671875,-267.1264572969792,Off
2022-09-23 08:12:20,-110.296875,-182.9453125,-116.7890625,-267.03125,Off
2022-09-23 08:12:21,-110.3671875,-182.8125,-116.8125,-266.28493428979874,Off
2022-09-23 08:12:23,-110.4140625,-182.921875,-116.7578125,-265.83069570231373,Off
2022-09-23 08:12:25,-110.3671875,-182.921875,-116.703125,-266.3575148300676,Off
2022-09-23 08:12:26,-110.4140625,-182.8671875,-116.703125,-265.8308079802268,Off
2022-09-23 08:12:28,-110.3515625,-182.8671875,-116.8125,-266.5230081040004,Off
2022-09-23 08:12:30,-110.4140625,-182.8671875,-116.7578125,-265.82121552950224,Off
2022-09-23 08:12:31,-110.296875,-183.109375,-116.7734375,-267.10388068114315,Off
2022-09-23 08:12:33,-110.3671875,-182.921875,-116.7578125,-266.28516087889886,Off
2022-09-23 08:12:34,-110.46875,-182.8125,-116.6640625,-265.2504946964552,Off
2022-09-23 08:12:36,-110.453125,-182.9453125,-116.7578125,-265.4783259833589,Off
2022-09-23 08:12:38,-110.3828125,-182.8671875,-116.828125,-266.2156389112452,Off
2022-09-23 08:12:39,-110.40625,-182.921875,-116.84375,-265.9228217913256,Off
2022-09-23 08:12:41,-110.46875,-183.0546875,-116.84375,-265.2743531401776,Off
2022-09-23 08:12:43,-110.3515625,-182.8671875,-116.828125,-266.55534411128343,Off
2022-09-23 08:12:44,-110.515625,-183.078125,-116.828125,-264.7430971360079,Off
2022-09-23 08:12:46,-110.4140625,-182.8671875,-116.7890625,-265.9231224333586,Off
2022-09-23 08:12:47,-110.3828125,-182.78125,-116.7890625,-266.19098998963034,Off
2022-09-23 08:12:49,-110.3515625,-182.96875,-116.7890625,-266.50330600866926,Off
2022-09-23 08:12:51,-110.3515625,-183.1875,-116.828125,-266.484375,Off
2022-09-23 08:12:52,-110.453125,-183.1328125,-116.8125,-265.40649946814716,Off
2022-09-23 08:12:54,-110.3671875,-183.109375,-116.828125,-266.38099694767135,Off
2022-09-23 08:12:56,-110.3828125,-183.078125,-116.84375,-266.1620311281692,Off
2022-09-23 08:12:57,-110.40625,-182.921875,-116.84375,-265.92312500813404,Off
2022-09-23 08:12:59,-110.453125,-182.8359375,-116.6640625,-265.4401288431001,Off
2022-09-23 08:13:00,-110.3671875,-182.890625,-116.8671875,-266.380638317798,Off
2022-09-23 08:13:02,-110.453125,-183.109375,-116.84375,-265.41606138958815,Off
2022-09-23 08:13:04,-110.453125,-183.078125,-116.828125,-265.46875,Off
2022-09-23 08:13:05,-110.40625,-182.78125,-116.7578125,-265.9661638982686,Off
