Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV1,Heater17 On,MV2,Heater18 On
2022-10-06 14:44:17,-148.921875,-96.21875,-106.234375,24.828125,0.0,False,0.0,False
2022-10-06 14:44:19,-148.765625,-96.1015625,-106.3359375,24.8671875,0.0,Off,0.0,Off
2022-10-06 14:44:23,-148.921875,-96.1328125,-106.4609375,24.8984375,12265.625,On,32921.875,On
2022-10-06 14:44:26,0.0,0.0,-106.5859375,32.609375,12265.625,On,32921.875,On
2022-10-06 14:44:31,-137.765625,-90.453125,-106.5703125,32.6328125,906.25,On,33140.625,On
2022-10-06 14:44:35,-137.8046875,-90.4296875,-89.140625,32.7265625,906.25,On,33140.625,On
2022-10-06 14:44:39,-137.9375,-90.5078125,-89.5078125,32.625,1015.625,On,-984.375,Off
2022-10-06 14:44:43,-137.8984375,-90.3671875,-89.546875,32.625,1015.625,On,-984.375,Off
2022-10-06 14:44:47,-137.8359375,-90.3671875,-89.4921875,32.625,734.375,On,-1015.625,Off
2022-10-06 14:44:51,-137.8359375,-90.5625,-89.4140625,32.609375,1125.0,On,-1171.875,Off
2022-10-06 14:44:55,-137.8203125,-90.578125,-89.3984375,32.625,1125.0,On,-1171.875,Off
2022-10-06 14:44:59,-137.8984375,-90.5625,-89.3984375,32.6328125,1125.0,On,-1203.125,Off
2022-10-06 14:45:03,-137.7421875,-90.5390625,-89.4921875,32.578125,1078.125,On,-1015.625,Off
2022-10-06 14:45:07,-137.9140625,-90.59375,-89.65625,32.6015625,1078.125,On,-1015.625,Off
2022-10-06 14:45:11,-137.8984375,-90.625,-89.78125,32.6796875,1250.0,On,-437.5,Off
2022-10-06 14:45:15,-137.765625,-90.5078125,-89.828125,32.5625,1015.625,On,-343.75,Off
2022-10-06 14:45:19,-137.8203125,-90.5078125,-89.890625,32.5390625,1015.625,On,-218.75,Off
2022-10-06 14:45:23,-137.8359375,-90.4453125,-89.90625,32.5859375,890.625,On,-187.5,Off
2022-10-06 14:45:27,-137.9375,-90.578125,-90.0703125,32.53125,890.625,On,-187.5,Off
2022-10-06 14:45:31,-137.9140625,-90.5390625,-90.0546875,32.5546875,1078.125,On,109.375,On
2022-10-06 14:45:35,-137.859375,-90.671875,-90.1171875,32.578125,1078.125,On,109.375,On
2022-10-06 14:45:39,-137.8203125,-90.5546875,-90.1640625,32.5546875,1109.375,On,328.125,On
2022-10-06 14:45:43,-137.875,-90.5546875,-90.0703125,32.5546875,1109.375,On,140.625,On
2022-10-06 14:45:47,-137.8359375,-90.578125,-90.1171875,32.6328125,1156.25,On,234.375,On
2022-10-06 14:45:51,-137.9140625,-90.625,-89.921875,32.5390625,1250.0,On,-156.25,Off
2022-10-06 14:45:55,-137.9140625,-90.625,-89.765625,32.5859375,1250.0,On,-156.25,Off
2022-10-06 14:45:59,-137.8046875,-90.640625,-89.65625,32.4921875,1281.25,On,-687.5,Off
2022-10-06 14:46:03,-137.8203125,-90.625,-89.515625,32.5,1250.0,On,-968.75,Off
2022-10-06 14:46:07,-137.8984375,-90.46875,-89.53125,32.4921875,937.5,On,-937.5,Off
2022-10-06 14:46:11,-137.8359375,-90.578125,-89.59375,32.515625,937.5,On,-937.5,Off
2022-10-06 14:46:15,-137.7265625,-90.46875,-89.578125,32.46875,937.5,On,-843.75,Off
2022-10-06 14:46:19,-137.8359375,-90.625,-89.6875,32.46875,1250.0,On,-625.0,Off
2022-10-06 14:46:23,-137.953125,-90.671875,-89.828125,32.4921875,1343.75,On,-343.75,Off
2022-10-06 14:46:27,-137.8203125,-90.59375,-89.890625,32.4296875,1343.75,On,-343.75,Off
2022-10-06 14:46:31,-138.0078125,-90.5078125,-89.9375,32.515625,1015.625,On,-125.0,Off
2022-10-06 14:46:35,-137.703125,-90.5546875,-89.9921875,32.4453125,1015.625,On,-125.0,Off
2022-10-06 14:46:39,-137.859375,-90.578125,-90.1171875,32.453125,1156.25,On,234.375,On
2022-10-06 14:46:43,-137.8046875,-90.5390625,-90.1015625,32.46875,1156.25,On,234.375,On
2022-10-06 14:46:47,-137.9140625,-90.640625,-90.1640625,32.4453125,1281.25,On,328.125,On
2022-10-06 14:46:51,-137.8046875,-90.59375,-90.0390625,32.4453125,1187.5,On,78.125,On
2022-10-06 14:46:55,-137.9140625,-90.625,-90.0390625,32.4296875,1250.0,On,78.125,On
2022-10-06 14:46:59,-137.953125,-90.578125,-89.875,32.40625,1250.0,On,78.125,On
2022-10-06 14:47:03,-137.8203125,-90.5546875,-89.640625,32.4765625,1109.375,On,-718.75,Off
2022-10-06 14:47:07,-137.8046875,-90.578125,-89.3828125,32.3828125,1156.25,On,-1234.375,Off
2022-10-06 14:47:11,-138.0078125,-90.703125,-89.2890625,32.40625,1406.25,On,-1421.875,Off
2022-10-06 14:47:15,-137.9140625,-90.5234375,-89.2734375,32.359375,1406.25,On,-1421.875,Off
2022-10-06 14:47:19,-137.8984375,-90.5546875,-89.2734375,32.3984375,1109.375,On,-1453.125,Off
2022-10-06 14:47:23,-137.8359375,-90.6875,-89.2734375,32.4296875,1375.0,On,-1453.125,Off
2022-10-06 14:47:27,-137.859375,-90.65625,-89.3515625,32.34375,1375.0,On,-1453.125,Off
2022-10-06 14:47:31,-137.8046875,-90.625,-89.3828125,32.375,1250.0,On,-1234.375,Off
2022-10-06 14:47:35,-137.7421875,-90.578125,-89.5625,32.3203125,1156.25,On,-875.0,Off
2022-10-06 14:47:39,-137.8984375,-90.5078125,-89.625,32.2890625,1015.625,On,-750.0,Off
2022-10-06 14:47:43,-137.765625,-90.5390625,-89.75,32.3359375,1015.625,On,-750.0,Off
2022-10-06 14:47:47,-137.7421875,-90.59375,-89.8125,32.3203125,1187.5,On,-375.0,Off
2022-10-06 14:47:51,-137.9140625,-90.5546875,-89.921875,32.3828125,1187.5,On,-375.0,Off
2022-10-06 14:47:55,-137.8984375,-90.640625,-90.0390625,32.296875,1281.25,On,78.125,On
2022-10-06 14:47:59,-137.8203125,-90.59375,-90.0703125,32.25,1187.5,On,140.625,On
2022-10-06 14:48:03,-137.8984375,-90.609375,-90.1328125,32.2734375,1218.75,On,265.625,On
2022-10-06 14:48:07,-137.8046875,-90.484375,-90.1328125,32.2734375,968.75,On,265.625,On
2022-10-06 14:48:11,-137.8984375,-90.5078125,-89.9375,32.3125,968.75,On,265.625,On
2022-10-06 14:48:15,-137.8984375,-90.5625,-89.78125,32.296875,1125.0,On,-437.5,Off
2022-10-06 14:48:19,-137.9375,-90.59375,-89.609375,32.265625,1187.5,On,-781.25,Off
2022-10-06 14:48:23,-137.953125,-90.5234375,-89.578125,32.2890625,1046.875,On,-843.75,Off
2022-10-06 14:48:27,-137.8359375,-90.640625,-89.5078125,32.2734375,1046.875,On,-843.75,Off
2022-10-06 14:48:31,-137.9140625,-90.609375,-89.546875,32.3359375,1218.75,On,-906.25,Off
2022-10-06 14:48:35,-137.9921875,-90.6875,-89.4921875,32.2734375,1218.75,On,-906.25,Off
2022-10-06 14:48:39,-137.859375,-90.5546875,-89.5078125,32.203125,1109.375,On,-984.375,Off
2022-10-06 14:48:43,-137.8359375,-90.5625,-89.5078125,32.1328125,1109.375,On,-984.375,Off
2022-10-06 14:48:47,-137.9375,-90.5078125,-89.71875,32.1875,1015.625,On,-562.5,Off
2022-10-06 14:48:51,-137.8359375,-90.59375,-89.765625,32.2265625,1187.5,On,-468.75,Off
2022-10-06 14:48:55,-137.875,-90.640625,-89.875,32.15625,1281.25,On,-250.0,Off
2022-10-06 14:48:59,-137.9375,-90.5625,-89.953125,32.1171875,1281.25,On,-250.0,Off
2022-10-06 14:49:03,-137.8984375,-90.6875,-90.0546875,32.1171875,1375.0,On,109.375,On
2022-10-06 14:49:07,-137.9140625,-90.578125,-90.1484375,32.140625,1156.25,On,296.875,On
2022-10-06 14:49:11,-137.9140625,-90.5546875,-90.0859375,32.09375,1109.375,On,171.875,On
2022-10-06 14:49:15,-137.78125,-90.5078125,-90.1328125,32.140625,1015.625,On,265.625,On
2022-10-06 14:49:19,-137.765625,-90.46875,-90.0078125,32.140625,1015.625,On,265.625,On
2022-10-06 14:49:23,-137.8984375,-90.671875,-89.796875,32.109375,1343.75,On,-406.25,Off
2022-10-06 14:49:27,-137.8359375,-90.609375,-89.625,32.1328125,1218.75,On,-750.0,Off
2022-10-06 14:49:31,-137.9140625,-90.578125,-89.4765625,32.15625,1156.25,On,-1046.875,Off
2022-10-06 14:49:35,-138.0078125,-90.59375,-89.4296875,32.1640625,1156.25,On,-1046.875,Off
2022-10-06 14:49:39,-137.9375,-90.734375,-89.4609375,32.09375,1468.75,On,-1078.125,Off
2022-10-06 14:49:43,-137.8203125,-90.625,-89.3984375,32.1171875,1250.0,On,-1203.125,Off
2022-10-06 14:49:47,-137.8984375,-90.609375,-89.5078125,32.0859375,1218.75,On,-984.375,Off
2022-10-06 14:49:51,-137.8359375,-90.640625,-89.640625,32.0859375,1281.25,On,-718.75,Off
2022-10-06 14:49:55,-137.9140625,-90.578125,-89.59375,32.09375,1281.25,On,-718.75,Off
2022-10-06 14:49:59,-137.7265625,-90.5234375,-89.75,32.0625,1046.875,On,-500.0,Off
2022-10-06 14:50:03,-137.7421875,-90.578125,-89.78125,32.140625,1156.25,On,-437.5,Off
2022-10-06 14:50:07,-137.9765625,-90.640625,-89.921875,32.09375,1281.25,On,-156.25,Off
2022-10-06 14:50:11,-137.8203125,-90.65625,-90.1484375,32.0234375,1312.5,On,296.875,On
2022-10-06 14:50:15,-137.875,-90.625,-90.1015625,32.03125,1312.5,On,296.875,On
2022-10-06 14:50:19,-137.8203125,-90.640625,-90.1640625,32.0078125,1281.25,On,328.125,On
2022-10-06 14:50:23,-137.78125,-90.5625,-90.0234375,32.0234375,1125.0,On,46.875,On
2022-10-06 14:50:27,-137.6875,-90.59375,-89.96875,32.09375,1187.5,On,-62.5,Off
2022-10-06 14:50:31,-137.8203125,-90.5390625,-89.703125,32.0078125,1187.5,On,-62.5,Off
2022-10-06 14:50:35,-137.78125,-90.5625,-89.75,32.0234375,1125.0,On,-500.0,Off
2022-10-06 14:50:39,-137.8203125,-90.5546875,-89.6875,31.9765625,1109.375,On,-625.0,Off
2022-10-06 14:50:43,-137.9140625,-90.453125,-89.640625,32.1171875,906.25,On,-718.75,Off
2022-10-06 14:50:47,-137.8984375,-90.5078125,-89.71875,31.9765625,1015.625,On,-562.5,Off
2022-10-06 14:50:51,-137.8203125,-90.5078125,-89.765625,31.9609375,1015.625,On,-468.75,Off
2022-10-06 14:50:55,-137.703125,-90.484375,-89.765625,31.984375,1015.625,On,-468.75,Off
2022-10-06 14:50:59,-137.859375,-90.484375,-89.921875,31.9765625,968.75,On,-156.25,Off
2022-10-06 14:51:03,-137.8359375,-90.578125,-89.90625,31.90625,1156.25,On,-187.5,Off
2022-10-06 14:51:07,-137.859375,-90.625,-90.0546875,31.984375,1250.0,On,109.375,On
2022-10-06 14:51:11,-137.875,-90.5546875,-90.0390625,31.953125,1250.0,On,109.375,On
2022-10-06 14:51:15,-137.9140625,-90.484375,-90.0234375,31.953125,968.75,On,46.875,On
2022-10-06 14:51:19,-137.8203125,-90.5078125,-90.0078125,31.9765625,1015.625,On,15.625,On
2022-10-06 14:51:23,-137.78125,-90.5234375,-89.96875,31.9375,1046.875,On,-62.5,Off
