Rt,temp_hex,temp_ch,temp_chamber,MV,Heater On
2022-09-22 13:48:19,-116.3515625,-177.03125,-127.328125,0.0,False
2022-09-22 13:48:25,-116.3515625,-177.03125,-127.3671875,134.82488126411172,On
2022-09-22 13:48:27,-116.3515625,-177.0859375,-127.3046875,133.515625,On
2022-09-22 13:48:28,-116.3515625,-176.90625,-127.5234375,133.515625,On
2022-09-22 13:48:30,-116.421875,-177.03125,-127.328125,134.26145043411066,On
2022-09-22 13:48:32,-116.3828125,-177.0625,-127.4453125,133.80375557232756,On
2022-09-22 13:48:33,-116.2734375,-177.109375,-127.421875,132.66496423318497,On
2022-09-22 13:48:35,0.0,-177.0078125,-127.2890625,-1151.0370753907155,Off
2022-09-22 13:48:36,-108.8359375,-176.8046875,-127.2890625,91.24066874423451,On
2022-09-22 13:48:38,-108.734375,-176.75,-127.2109375,29.682312871235606,On
2022-09-22 13:48:39,-108.8046875,-176.984375,-127.3671875,36.59155498519078,On
2022-09-22 13:48:41,-108.8515625,-177.140625,-127.3046875,43.14735142104685,On
2022-09-22 13:48:43,-108.8125,-176.90625,-127.3828125,48.89283528833893,On
2022-09-22 13:48:44,-108.8359375,-176.984375,-127.265625,55.451175970279614,On
2022-09-22 13:48:46,-108.8046875,-176.9609375,-127.3671875,58.02769739883885,On
2022-09-22 13:48:48,-108.6484375,-176.8828125,-127.265625,56.38806635619047,On
2022-09-22 13:48:49,-108.8671875,-177.03125,-127.484375,58.80593786593158,On
2022-09-22 13:48:51,-108.71875,-177.1640625,-127.3046875,57.09708133558187,On
2022-09-22 13:48:52,-108.8046875,-177.0859375,-127.3828125,58.0994248749118,On
2022-09-22 13:48:54,-108.75,-177.0625,-127.2109375,57.46606297618893,On
2022-09-22 13:48:56,-108.8515625,-176.9296875,-127.265625,58.57816061801458,On
2022-09-22 13:48:57,-108.8125,-176.984375,-127.328125,58.10049183125862,On
2022-09-22 13:48:59,-108.8515625,-177.0859375,-127.40625,58.539410010449494,On
2022-09-22 13:49:01,-108.765625,-177.0625,-127.3828125,57.60389917417548,On
2022-09-22 13:49:02,-108.7890625,-177.140625,-127.421875,57.90500828294512,On
2022-09-22 13:49:04,-108.8046875,-177.03125,-127.4453125,58.05647028669023,On
2022-09-22 13:49:05,-108.8359375,-177.0078125,-127.3046875,58.37836446634575,On
2022-09-22 13:49:07,-108.8046875,-177.140625,-127.34375,58.027483614218355,On
2022-09-22 13:49:09,-108.8046875,-176.90625,-127.3671875,58.046875,On
2022-09-22 13:49:10,-108.6875,-177.0859375,-127.4453125,56.80258081740323,On
2022-09-22 13:49:12,-108.71875,-177.0078125,-127.40625,57.20674139813114,On
2022-09-22 13:49:14,-108.765625,-176.9609375,-127.421875,57.68514060618872,On
2022-09-22 13:49:15,-108.8359375,-176.90625,-127.421875,58.403071946079656,On
2022-09-22 13:49:17,-108.8046875,-177.0078125,-127.40625,58.02774494798901,On
2022-09-22 13:49:18,-108.765625,-177.0859375,-127.328125,57.632445398813516,On
2022-09-22 13:49:20,-108.8359375,-176.9609375,-127.3671875,58.40242752617827,On
2022-09-22 13:49:22,-108.8515625,-176.8515625,-127.40625,58.52516407474934,On
2022-09-22 13:49:23,-108.765625,-177.03125,-127.421875,57.60368632351755,On
2022-09-22 13:49:25,-108.8515625,-176.90625,-127.40625,58.569653070170176,On
2022-09-22 13:49:27,-108.8828125,-176.9609375,-127.3828125,58.84717997655563,On
2022-09-22 13:49:28,-108.8125,-176.8515625,-127.3046875,58.08199780798356,On
2022-09-22 13:49:30,-108.734375,-176.9296875,-127.3046875,57.29579152108348,On
2022-09-22 13:49:31,-108.8359375,-177.0859375,-127.3671875,58.42323678950154,On
2022-09-22 13:49:33,-108.765625,-177.0078125,-127.3671875,57.61204886589511,On
2022-09-22 13:49:35,-108.734375,-177.03125,-127.3828125,57.324571026635205,On
2022-09-22 13:49:36,-108.8046875,-176.8515625,-127.421875,58.09026709051319,On
2022-09-22 13:49:38,-108.71875,-177.03125,-127.421875,57.13492070467295,On
2022-09-22 13:49:40,-108.8125,-177.0078125,-127.421875,58.18251072358768,On
2022-09-22 13:49:41,-108.8125,-176.90625,-127.328125,58.125,On
2022-09-22 13:49:43,-108.734375,-177.0078125,-127.3828125,57.295262848547644,On
2022-09-22 13:49:44,-108.9296875,-177.03125,-127.34375,59.4166120053851,On
2022-09-22 13:49:46,-108.8671875,-176.9296875,-127.40625,58.633551002400516,On
2022-09-22 13:49:48,-108.8515625,-176.9609375,-127.3828125,58.50598735010657,On
2022-09-22 13:49:49,-108.8359375,-177.0078125,-127.3828125,58.34986316376103,On
2022-09-22 13:49:51,-108.765625,-176.984375,-127.421875,57.61270694107767,On
2022-09-22 13:49:53,-108.7890625,-176.90625,-127.328125,57.90502257181577,On
2022-09-22 13:49:54,-108.8515625,-176.8515625,-127.2890625,58.554640039328476,On
2022-09-22 13:49:56,-108.8359375,-177.0078125,-127.5,58.34975824110718,On
2022-09-22 13:49:57,-108.8671875,-177.03125,-127.40625,58.69108643868571,On
2022-09-22 13:49:59,-108.765625,-177.0078125,-127.421875,57.59457324726111,On
2022-09-22 13:50:01,-108.8671875,-177.03125,-127.4609375,58.7343269680879,On
2022-09-22 13:50:02,-108.8125,-177.03125,-127.484375,58.091549270613214,On
2022-09-22 13:50:04,-108.75,-176.984375,-127.421875,57.46038626055572,On
2022-09-22 13:50:06,-108.8359375,-176.90625,-127.3828125,58.41291896303879,On
2022-09-22 13:50:07,-108.8515625,-176.9609375,-127.421875,58.5252122771963,On
2022-09-22 13:50:09,-108.8671875,-176.90625,-127.421875,58.68178633846776,On
2022-09-22 13:50:10,-108.8046875,-176.984375,-127.3828125,58.00860775818024,On
2022-09-22 13:50:12,-108.8125,-177.21875,-127.40625,58.12977916628868,On
2022-09-22 13:50:14,-108.8359375,-177.0078125,-127.40625,58.373582568611596,On
2022-09-22 13:50:15,-108.734375,-176.8046875,-127.5,57.27997110846187,On
2022-09-22 13:50:17,-108.8046875,-176.828125,-127.3828125,58.091191873943686,On
2022-09-22 13:50:18,-108.90625,-176.984375,-127.484375,59.12476908593588,On
2022-09-22 13:50:20,-108.765625,-176.8515625,-127.5,57.569918306580085,On
2022-09-22 13:50:22,-108.8046875,-177.0625,-127.4453125,58.07098687178559,On
2022-09-22 13:50:23,-108.8046875,-177.0078125,-127.40625,58.046875,On
2022-09-22 13:50:25,-108.8359375,-176.828125,-127.421875,58.37861029601681,On
2022-09-22 13:50:27,-108.765625,-176.9609375,-127.34375,57.61314119364875,On
2022-09-22 13:50:28,-108.734375,-177.03125,-127.484375,57.324726206033816,On
2022-09-22 13:50:30,-108.75,-176.90625,-127.3828125,57.509629080009695,On
2022-09-22 13:50:31,-108.8125,-177.03125,-127.2265625,58.16330170600273,On
2022-09-22 13:50:33,-108.765625,-177.0625,-127.4609375,57.62742892599692,On
2022-09-22 13:50:35,-108.8671875,-177.0625,-127.4453125,58.73492009788193,On
2022-09-22 13:50:36,-108.8359375,-177.03125,-127.3828125,58.34027024671021,On
2022-09-22 13:50:38,-108.8046875,-177.140625,-127.328125,58.02778374557501,On
2022-09-22 13:50:40,-108.8515625,-176.90625,-127.4609375,58.544922527231364,On
2022-09-22 13:50:41,-108.8046875,-176.9609375,-127.4453125,58.01827866233492,On
2022-09-22 13:50:43,-108.8125,-176.9609375,-127.421875,58.12986719196533,On
2022-09-22 13:50:44,-108.8125,-176.8828125,-127.484375,58.125,On
2022-09-22 13:50:46,-108.75,-176.984375,-127.4609375,57.461740700069996,On
2022-09-22 13:50:48,-108.8515625,-176.9609375,-127.34375,58.57779766903574,On
2022-09-22 13:50:49,-108.703125,-177.0078125,-127.3671875,56.9374644919904,On
2022-09-22 13:50:51,-108.734375,-176.9609375,-127.40625,57.363064747329474,On
2022-09-22 13:50:53,-108.8046875,-176.90625,-127.421875,58.08980372941809,On
2022-09-22 13:50:54,-108.75,-176.75,-127.5,57.465354799292825,On
2022-09-22 13:50:56,-108.8046875,-176.8515625,-127.4453125,58.0806821995056,On
2022-09-22 13:50:57,-108.71875,-176.90625,-127.3828125,57.13379404505008,On
2022-09-22 13:50:59,-108.75,-176.8828125,-127.4609375,57.519087737448075,On
2022-09-22 13:51:01,-108.8046875,-176.8828125,-127.5234375,58.08001440754294,On
2022-09-22 13:51:02,-108.8046875,-176.984375,-127.421875,58.046875,On
2022-09-22 13:51:04,-108.7890625,-176.8046875,-127.421875,57.88109888552993,On
2022-09-22 13:51:06,-108.8125,-177.0078125,-127.3828125,58.13939280781273,On
2022-09-22 13:51:07,-108.8046875,-177.0078125,-127.328125,58.041922917383886,On
2022-09-22 13:51:09,-108.765625,-176.8828125,-127.3828125,57.632281288063716,On
2022-09-22 13:51:10,-108.7890625,-177.0625,-127.40625,57.904940919834694,On
2022-09-22 13:51:12,-108.8046875,-176.75,-127.5,58.05643259795933,On
2022-09-22 13:51:14,-108.7890625,-176.8828125,-127.421875,57.88102929042542,On
2022-09-22 13:51:15,-108.765625,-176.8515625,-127.484375,57.64172954545589,On
2022-09-22 13:51:17,-108.8359375,-176.984375,-127.5,58.40236402213794,On
2022-09-22 13:51:19,-108.734375,-177.0078125,-127.5,57.281716009630195,On
2022-09-22 13:51:20,-108.734375,-176.8828125,-127.4453125,57.34375,On
2022-09-22 13:51:22,-108.8125,-176.90625,-127.4453125,58.17298581278826,On
2022-09-22 13:51:23,-108.8515625,-177.0078125,-127.421875,58.539639977700695,On
2022-09-22 13:51:25,-108.8046875,-176.90625,-127.4453125,58.018274223679086,On
2022-09-22 13:51:27,-108.7890625,-176.8515625,-127.421875,57.881037433874816,On
2022-09-22 13:51:28,-108.8359375,-177.0859375,-127.5,58.38799287822642,On
2022-09-22 13:51:30,-108.8671875,-176.8046875,-127.421875,58.691201731645485,On
