Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV1,Heater17 On,MV2,Heater18 On
2022-10-04 09:26:07,25.140625,29.5859375,24.0,11.8203125,0.0,False,0.0,False
2022-10-04 09:26:08,25.25,29.625,24.015625,11.8203125,0.0,On,0.0,Off
2022-10-04 09:26:12,25.3125,29.6015625,24.2890625,0.0,-11543.90625,On,1785.8206479027867,On
2022-10-04 09:26:16,25.15625,29.578125,24.1328125,19.5703125,-11485.3125,On,2183.6509504802525,On
2022-10-04 09:26:20,25.2578125,29.5,24.125,19.65625,-11290.0,On,2210.209944356233,On
2022-10-04 09:26:24,25.4296875,29.5078125,24.046875,19.71875,-11309.53125,On,2413.1432703621686,On
2022-10-04 09:26:28,25.34375,29.5546875,23.921875,19.6796875,-11426.71875,On,2734.2783028297126,On
2022-10-04 09:26:32,25.4140625,29.5546875,24.15625,19.6640625,-11426.71875,On,2149.375,On
2022-10-04 09:26:36,25.40625,29.578125,24.0,19.5703125,-11485.3125,On,2540.0,On
2022-10-04 09:26:40,25.40625,29.640625,23.859375,19.6328125,-11641.5625,On,2891.5625,On
2022-10-04 09:26:44,25.3671875,29.5859375,24.015625,19.5703125,-11504.84375,On,2500.9375,On
2022-10-04 09:26:48,25.4296875,29.53125,23.75,19.6328125,-11368.125,On,3165.0,On
2022-10-04 09:26:52,25.4375,29.6015625,23.8828125,19.53125,-11543.90625,On,2832.96875,On
2022-10-04 09:26:56,25.546875,29.5703125,24.0390625,19.5078125,-11465.78125,On,2442.34375,On
2022-10-04 09:27:00,25.5234375,29.5,24.0625,19.5546875,-11290.0,On,2383.75,On
2022-10-04 09:27:04,25.4609375,29.5546875,23.6875,19.5703125,-11426.71875,On,3321.25,On
2022-10-04 09:27:08,25.5390625,29.6171875,23.96875,19.578125,-11582.96875,On,2618.125,On
2022-10-04 09:27:12,25.4296875,29.5546875,24.375,19.578125,-11426.71875,On,1602.5,On
2022-10-04 09:27:16,25.4609375,29.5,24.203125,19.5546875,-11290.0,On,2032.1875,On
2022-10-04 09:27:20,25.5703125,29.4453125,23.890625,19.546875,-11153.28125,On,2813.4375,On
2022-10-04 09:27:24,25.515625,29.5078125,24.125,19.6171875,-11309.53125,On,2227.5,On
2022-10-04 09:27:28,25.4140625,29.46875,24.359375,19.6171875,-11211.875,On,1641.5625,On
2022-10-04 09:27:32,25.4140625,29.53125,24.3046875,19.578125,-11368.125,On,1778.28125,On
2022-10-04 09:27:36,25.3359375,29.4453125,24.3359375,19.609375,-11153.28125,On,1700.15625,On
2022-10-04 09:27:40,25.3125,29.390625,24.4609375,19.609375,-11016.5625,On,1387.65625,On
2022-10-04 09:27:44,25.2265625,29.5078125,24.6171875,19.6328125,-11309.53125,On,997.03125,On
2022-10-04 09:27:48,25.25,29.4453125,24.6875,19.578125,-11153.28125,On,821.25,On
2022-10-04 09:27:52,25.3671875,29.46875,24.6953125,19.609375,-11211.875,On,801.71875,On
2022-10-04 09:27:56,25.359375,29.4375,24.7578125,19.6171875,-11133.75,On,645.46875,On
2022-10-04 09:28:00,25.3359375,29.421875,24.7578125,19.5546875,-11094.6875,On,645.46875,On
2022-10-04 09:28:04,25.4609375,29.4140625,24.7421875,19.578125,-11075.15625,On,684.53125,On
2022-10-04 09:28:08,25.59375,29.3984375,24.6484375,19.578125,-11036.09375,On,918.90625,On
2022-10-04 09:28:12,25.5234375,29.3984375,24.8046875,19.5703125,-11036.09375,On,528.28125,On
