Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,Heat F,Heat B
04:19:20,-150.60808,-93.44431,-135.20871,-11.880836,0,1
04:19:23,-150.61133,-93.46711,-135.20111,-11.909335,0,1
04:19:26,-150.60742,-93.449394,-135.1631,-11.899835,0,1
04:19:29,-150.5866,-93.43673,-135.20934,-11.884002,0,1
04:19:32,-150.57292,-93.46838,-135.24988,-11.901734,0,1
04:19:35,-150.61328,-93.47915,-135.16248,-11.877669,0,1
04:19:38,-150.6211,-93.49563,-135.23279,-11.905536,0,1
04:19:41,-150.66602,-93.477264,-135.22075,-11.918836,0,1
04:19:44,-150.65364,-93.44687,-135.21758,-11.9213705,0,1
04:19:47,-150.68816,-93.46586,-135.1954,-11.904902,0,1
04:19:50,-150.6302,-93.49689,-135.19542,-11.902368,0,1
04:19:53,-150.63347,-93.46015,-135.21442,-11.907435,0,1
04:19:56,-150.64714,-93.48803,-135.19794,-11.897935,0,1
04:19:59,-150.65105,-93.493095,-135.21504,-11.888435,0,1
04:20:02,-150.62044,-93.49246,-135.21315,-11.894769,0,1
04:20:05,-150.62239,-93.45572,-135.22517,-11.895401,0,1
04:20:08,-150.65169,-93.47852,-135.22835,-11.886535,0,1
04:20:11,-150.63933,-93.49563,-135.24544,-11.922637,0,1
04:20:14,-150.66211,-93.47788,-135.19351,-11.909969,0,1
04:20:17,-150.63606,-93.46459,-135.2391,-11.900468,0,1
04:20:20,-150.65755,-93.42279,-135.21758,-11.914402,0,1
04:20:23,-150.63802,-93.47028,-135.22835,-11.910602,0,1
04:20:26,-150.64453,-93.51209,-135.18465,-11.908069,0,1
04:20:29,-150.59245,-93.434814,-135.2068,-11.9068,0,1
04:20:32,-150.61133,-93.4551,-135.19795,-11.903001,0,1
04:20:35,-150.63216,-93.46079,-135.184,-11.8941345,0,1
04:20:38,-150.62825,-93.47726,-135.2144,-11.925168,0,1
04:20:41,-150.62761,-93.4342,-135.23656,-11.89857,0,1
04:20:44,-150.61653,-93.48548,-135.21567,-11.888435,0,1
04:20:47,-150.65755,-93.46396,-135.22644,-11.904267,0,1
04:20:50,-150.63086,-93.50955,-135.22961,-11.918836,0,1
04:20:53,-150.62825,-93.45636,-135.25938,-11.908702,0,1
04:20:56,-150.64519,-93.445595,-135.22581,-11.916302,0,1
04:20:59,-150.6237,-93.43925,-135.23595,-11.892868,0,1
04:21:02,-150.60547,-93.45255,-135.20934,-11.896668,0,1
04:21:05,-150.61394,-93.44875,-135.24419,-11.906169,0,1
04:21:08,-150.53125,-93.45383,-135.19795,-11.880202,0,1
04:21:11,-150.57617,-93.444954,-135.19414,-11.902368,0,1
04:21:14,-150.60677,-93.47598,-135.1992,-11.889069,0,1
04:21:17,-150.60352,-93.466484,-135.17323,-11.912503,0,1
04:21:20,-150.63672,-93.455086,-135.24165,-11.911236,0,1
04:21:23,-150.57227,-93.46521,-135.21631,-11.907435,0,1
04:21:26,-150.59766,-93.4551,-135.19414,-11.918202,0,1
04:21:29,-150.59375,-93.50765,-135.20427,-11.92327,0,1
04:21:32,-150.61914,-93.488014,-135.19542,-11.931502,0,1
04:21:35,-150.60156,-93.45255,-135.20555,-11.922637,0,1
04:21:38,-150.60677,-93.4874,-135.22075,-11.913769,0,1
04:21:41,-150.60677,-93.47219,-135.20998,-11.928969,0,1
04:21:44,-150.61067,-93.451294,-135.23152,-11.9131365,0,1
04:21:47,-150.61458,-93.46839,-135.2657,-11.924535,0,1
04:21:50,-150.6009,-93.45951,-135.25494,-11.887169,0,1
04:21:53,-150.63933,-93.49055,-135.21884,-11.928969,0,1
04:21:56,-150.62305,-93.466484,-135.26634,-11.920737,0,1
04:21:59,-150.67903,-93.47156,-135.22453,-11.934035,0,1
04:22:02,-150.61523,-93.47282,-135.23277,-11.910603,0,1
04:22:05,-150.61133,-93.50512,-135.21884,-11.916303,0,1
04:22:08,-150.57942,-93.50513,-135.25114,-11.904269,0,1
04:22:11,-150.65495,-93.47535,-135.23213,-11.903003,0,1
04:22:14,-150.63606,-93.469025,-135.23848,-11.920735,0,1
04:22:17,-150.62566,-93.459526,-135.2144,-11.904267,0,1
04:22:20,-150.61394,-93.4855,-135.25684,-11.914403,0,1
04:22:23,-150.625,-93.53109,-135.26317,-11.920102,0,1
04:22:26,-150.59375,-93.467125,-135.24925,-11.885901,0,1
04:22:29,-150.58464,-93.489296,-135.20744,-11.910602,0,1
04:22:32,-150.61394,-93.441795,-135.24101,-11.91377,0,1
04:22:35,-150.63347,-93.46017,-135.23595,-11.928969,0,1
04:22:38,-150.6289,-93.45193,-135.26573,-11.911869,0,1
04:22:41,-150.64519,-93.4798,-135.21124,-11.881469,0,1
04:22:44,-150.64648,-93.463326,-135.2676,-11.894769,0,1
04:22:47,-150.62761,-93.46775,-135.26634,-11.917569,0,1
04:22:50,-150.63606,-93.48359,-135.27205,-11.912502,0,1
04:22:53,-150.63802,-93.50006,-135.2771,-11.9023695,0,1
04:22:56,-150.6263,-93.47092,-135.20808,-11.934035,0,1
04:22:59,-150.61133,-93.436714,-135.22517,-11.922635,0,1
04:23:02,-150.63542,-93.459526,-135.19922,-11.904269,0,1
04:23:05,-150.59766,-93.429115,-135.21947,-11.881469,0,1
04:23:08,-150.60612,-93.449394,-135.2353,-11.898568,0,1
04:23:11,-150.60938,-93.45446,-135.20808,-11.917569,0,1
04:23:14,-150.5905,-93.45193,-135.21188,-11.907435,0,1
04:23:17,-150.61719,-93.45572,-135.23468,-11.90047,0,1
04:23:20,-150.62175,-93.45129,-135.1878,-11.911869,0,1
04:23:23,-150.62434,-93.47345,-135.25493,-11.893501,0,1
04:23:26,-150.64778,-93.47473,-135.21822,-11.925803,0,1
04:23:29,-150.57356,-93.45508,-135.26823,-11.90047,0,1
04:23:32,-150.6634,-93.488014,-135.25685,-11.920102,0,1
04:23:35,-150.63086,-93.47916,-135.26509,-11.919469,0,1
04:23:38,-150.57552,-93.49499,-135.23784,-11.908069,0,1
04:23:41,-150.60481,-93.506386,-135.23466,-11.930869,0,1
04:23:44,-150.64519,-93.49942,-135.2315,-11.922004,0,1
