Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV1,Heater17 On,MV2,Heater18 On
2022-10-13 13:08:41,-165.1015625,-144.96875,-118.515625,-11.6875,0.0,False,0.0,False
2022-10-13 13:08:43,-165.171875,-145.09375,-118.4609375,-11.703125,-96.08088801490229,Off,-144.1002336085549,Off
2022-10-13 13:08:45,-165.0,-145.03125,-118.5546875,-11.6640625,-96.08088801490229,Off,-144.1002336085549,Off
2022-10-13 13:08:47,-165.0234375,-145.0546875,-118.3515625,-11.703125,-23.396486949536513,Off,-34.66544055785331,Off
2022-10-13 13:08:49,-165.1015625,-144.96875,-118.609375,-11.78125,-23.531794218312836,Off,-34.08667567120213,Off
2022-10-13 13:08:51,-164.9765625,-144.9453125,-118.515625,-11.765625,-23.531794218312836,Off,-34.08667567120213,Off
2022-10-13 13:08:53,-165.1015625,-145.0546875,-118.484375,-11.625,-23.300948709002565,Off,-34.62183629064229,Off
2022-10-13 13:08:55,-165.1015625,-145.0078125,-118.59375,-11.7265625,-23.457331341066354,Off,-34.31471258749032,Off
2022-10-13 13:08:57,-165.0703125,-144.8984375,-118.609375,-11.75,-23.457331341066354,Off,-34.31471258749032,Off
2022-10-13 13:08:59,-165.0234375,-145.03125,-118.5546875,-11.7890625,-23.358727794506567,Off,-34.526356981675335,Off
2022-10-13 13:09:01,-165.1015625,-144.984375,-118.5390625,-11.7265625,-23.358727794506567,Off,-34.526356981675335,Off
2022-10-13 13:09:03,-165.046875,-144.984375,-118.5,-11.671875,-23.43210077553065,Off,-34.56151883537353,Off
2022-10-13 13:09:05,-165.046875,-144.859375,-118.484375,-11.7890625,-23.637995627203534,Off,-34.54987750372184,Off
2022-10-13 13:09:07,-165.0703125,-145.09375,-118.515625,-11.6875,-23.637995627203534,Off,-34.54987750372184,Off
2022-10-13 13:09:09,-165.046875,-145.0703125,-118.4609375,-11.7265625,-23.199403547602977,Off,-34.55391917365413,Off
2022-10-13 13:09:11,-165.1484375,-145.09375,-118.515625,-11.671875,-23.31489609406034,Off,-34.43052970580649,Off
2022-10-13 13:09:13,-165.1484375,-145.09375,-118.515625,-11.671875,-23.35028017241379,Off,-34.51309267241379,Off
2022-10-13 13:09:15,-165.1015625,-145.0546875,-118.5390625,-11.75,-23.426060044863984,Off,-34.467624761662655,Off
2022-10-13 13:09:17,-165.0234375,-144.8984375,-118.4453125,-11.703125,-23.426060044863984,Off,-34.467624761662655,Off
2022-10-13 13:09:19,-165.046875,-145.09375,-118.59375,-11.75,-23.320540112869622,Off,-34.43864407415986,Off
2022-10-13 13:09:21,-165.0703125,-145.09375,-118.609375,-11.671875,-23.35028017241379,Off,-34.44997925555685,Off
2022-10-13 13:09:23,-165.0234375,-145.03125,-118.609375,-11.75,-23.35028017241379,Off,-34.44997925555685,Off
2022-10-13 13:09:25,-165.0234375,-145.03125,-118.515625,-11.75,-23.424114120182285,Off,-34.58446861959568,Off
2022-10-13 13:09:27,-165.0703125,-145.1171875,-118.5546875,-11.703125,-23.424114120182285,Off,-34.58446861959568,Off
