Rt,temp_hex,temp_ch,temp_chamber,MV,Heater On
2022-09-19 18:26:46,-158.1875,-56.625,7.2421875,0.0,False
2022-09-19 18:26:47,-158.1640625,-56.65625,7.2421875,-318.09149084298525,Off
2022-09-19 18:26:49,-158.1171875,-56.65625,7.3046875,-298.85085532331817,Off
2022-09-19 18:26:51,-158.25,-56.671875,7.3125,-297.42513083650283,Off
2022-09-19 18:26:52,-158.34375,-56.5859375,7.34375,-296.50948009164574,Off
2022-09-19 18:26:54,-158.1875,-56.625,7.28125,-298.21299014299876,Off
2022-09-19 18:26:56,-158.2265625,-56.71875,7.265625,-297.7125761389319,Off
2022-09-19 18:26:58,-158.296875,-56.625,7.28125,-296.99153592432333,Off
2022-09-19 18:27:00,-158.25,-56.6875,7.28125,-297.52619426883126,Off
2022-09-19 18:27:01,-158.2734375,-56.671875,7.3125,-297.2524543825992,Off
2022-09-19 18:27:03,-158.3203125,-56.71875,7.3125,-296.7705342557421,Off
2022-09-19 18:27:05,-158.3203125,-56.703125,7.28125,-296.796875,Off
2022-09-19 18:27:07,-158.25,-56.7265625,7.28125,-297.53972725767665,Off
2022-09-19 18:27:08,-158.2109375,-56.703125,7.265625,-297.91248694257985,Off
2022-09-19 18:27:10,-158.1640625,-56.8359375,7.21875,-298.3855155685781,Off
2022-09-19 18:27:12,-158.34375,-56.7421875,7.2890625,-296.46225119497575,Off
2022-09-19 18:27:14,-158.34375,-56.8046875,7.1640625,-296.5625,Off
2022-09-19 18:27:16,-158.3671875,-56.7578125,7.328125,-296.3150224243357,Off
2022-09-19 18:27:17,-158.25,-56.875,7.2265625,-297.565983411519,Off
2022-09-19 18:27:19,-158.2734375,-56.875,7.28125,-297.25227270709166,Off
2022-09-19 18:27:21,-158.2109375,-56.8046875,7.265625,-297.92657656007833,Off
2022-09-19 18:27:23,-158.296875,-56.890625,7.2265625,-296.9801243500574,Off
