Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,Heat F,Heat B
12:14:27,11.496094,18.364809,18.26094,18.254608,0,0
12:14:28,11.3098955,18.343275,18.243206,18.240671,0,0
12:14:30,11.165364,18.373676,18.23054,18.25334,0,0
12:14:31,11.0,18.381277,18.231806,18.240671,0,0
12:14:33,10.796875,18.377478,18.226738,18.247007,0,0
12:14:34,10.6171875,18.364809,18.243204,18.24574,0,0
12:14:36,10.4661455,18.390144,18.220406,18.252073,0,0
12:14:37,10.255208,18.374945,18.21914,18.267275,0,0
12:14:39,10.095052,18.344543,18.220406,18.234339,0,0
12:14:40,9.941406,18.342009,18.198872,18.282473,0,0
12:14:42,9.753906,18.34581,18.195072,18.282473,0,0
12:14:44,9.592448,18.329342,18.215338,18.248274,0,0
12:14:45,9.436198,18.347076,18.181139,18.262207,0,0
12:14:47,9.227864,18.344542,18.172272,18.220406,0,0
12:14:48,9.040364,18.331877,18.177338,18.238138,0,0
12:14:50,8.891927,18.328075,18.16847,18.221674,0,0
12:14:51,8.714844,18.35721,18.187471,18.216606,0,0
12:14:53,8.546875,18.335676,18.173538,18.222939,0,0
12:14:54,8.375,18.344542,18.179873,18.240673,0,0
12:14:56,8.207031,18.331875,18.143137,18.25714,0,0
12:14:57,8.0598955,18.305275,18.154535,18.27234,0,0
12:14:59,7.8476562,18.323008,18.138071,18.250807,0,0
12:15:00,7.6757812,18.324274,18.13047,18.267273,0,0
12:15:02,7.5039062,18.342009,18.11527,18.266008,0,0
12:15:03,7.296875,18.33821,18.134272,18.243208,0,0
12:15:05,7.1835938,18.316675,18.14187,18.267273,0,0
12:15:06,7.0169272,18.324276,18.11147,18.240673,0,0
12:15:08,6.8333335,18.320475,18.097536,18.255875,0,0
12:15:09,6.6614585,18.326807,18.10767,18.25334,0,0
12:15:11,6.4934897,18.334408,18.095001,18.28374,0,0
12:15:12,6.3320312,18.358477,18.09247,18.266006,0,0
12:15:14,6.2122397,18.312874,18.049402,18.26854,0,0
12:15:15,5.981771,18.328075,18.076002,18.254606,0,0
12:15:17,5.815104,18.33061,18.054468,18.263474,0,0
12:15:18,5.6679688,18.319208,18.039267,18.281206,0,0
12:15:20,5.4908853,18.293875,18.040535,18.281208,0,0
12:15:21,5.2851562,18.309074,18.027868,18.252073,0,0
12:15:23,5.158854,18.323008,18.050669,18.263474,0,0
12:15:24,4.9921875,18.329344,18.0456,18.26854,0,0
12:15:26,4.8072915,18.293875,18.019003,18.250807,0,0
12:15:27,4.6679688,18.328074,18.054468,18.24574,0,0
