Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,Heat F,Heat B
2022-10-28 16:32:00,-157.8671875,-140.55545176630434,-97.87151342975207,3.9593749999999996,0,0
16:32:11,-157.8414,-140.47945,-97.82595,3.942187,1,0
16:32:21,-157.81485,-139.40782,-97.85768,3.989062,1,0
16:32:31,-157.82812,-135.67992,-97.89918,4.047656,1,0
16:32:42,-157.77734,-129.92429,-97.89917,4.167187,0,0
16:32:53,-157.82735,-126.247314,-97.92195,4.2132807,0,0
16:36:16,-157.76094,-139.26265,-97.87477,3.9218745,1,0
16:36:26,-157.72891,-138.26855,-97.83735,3.9406247,1,0
16:36:37,-157.75859,-135.01567,-97.8585,4.017187,0,0
16:36:47,-157.83125,-129.84068,-97.85606,4.154687,0,0
16:36:57,-157.82578,-126.84696,-97.84141,4.1648436,0,0
16:37:07,-157.84843,-126.02842,-97.84874,4.195312,0,0
16:37:17,-157.8086,-126.38943,-97.83734,4.182812,0,0
16:37:28,-157.73125,-127.2452,-97.84386,4.170312,0,0
16:37:38,-157.76562,-128.34497,-97.83735,4.1507807,0,0
16:37:49,-157.76562,-129.51541,-97.82189,4.132812,1,0
16:38:00,-157.75781,-130.35217,-97.83165,4.125781,0,0
16:38:11,-157.82578,-130.00409,-97.79993,4.1460934,0,0
