Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV,Heater On
2022-10-03 15:15:18,22.1328125,19.859375,11.2890625,11.296875,0.0,False
2022-10-03 15:15:19,22.1875,19.9140625,11.2734375,11.3515625,0.0,Off
2022-10-03 15:15:23,22.203125,19.859375,11.3515625,11.2890625,10391.5625,On
2022-10-03 15:15:27,22.2109375,19.9375,11.2890625,11.296875,10196.25,On
2022-10-03 15:15:31,22.203125,19.8671875,11.3828125,11.3828125,10372.03125,On
2022-10-03 15:15:35,22.2890625,19.9921875,11.3359375,11.3515625,10059.53125,On
2022-10-03 15:15:39,22.2265625,20.0234375,11.2890625,11.296875,9981.40625,On
2022-10-03 15:15:42,22.2890625,20.046875,11.25,11.3359375,9922.8125,On
2022-10-03 15:15:46,22.3984375,20.015625,11.375,11.359375,10000.9375,On
2022-10-03 15:15:50,22.34375,20.0234375,11.3515625,11.3515625,9981.40625,On
2022-10-03 15:15:54,22.40625,20.1015625,11.3515625,11.3125,9786.09375,On
2022-10-03 15:15:58,22.4375,20.078125,11.3203125,11.375,9844.6875,On
2022-10-03 15:16:02,22.40625,20.0859375,11.296875,11.3515625,9825.15625,On
2022-10-03 15:16:05,22.4375,20.1015625,11.3984375,11.375,9786.09375,On
2022-10-03 15:16:09,22.4375,20.15625,11.359375,11.3828125,9649.375,On
2022-10-03 15:16:13,22.5,20.15625,11.3203125,11.3828125,9649.375,On
2022-10-03 15:16:17,22.546875,20.046875,11.3515625,11.3359375,9922.8125,On
2022-10-03 15:16:21,22.5390625,20.078125,11.375,11.375,9844.6875,On
2022-10-03 15:16:25,22.6328125,20.078125,11.421875,11.3203125,9844.6875,On
2022-10-03 15:16:28,22.625,20.0859375,11.359375,11.296875,9825.15625,On
2022-10-03 15:16:32,22.6328125,20.15625,11.296875,11.3515625,9649.375,On
2022-10-03 15:16:36,22.6640625,20.1953125,11.359375,11.3359375,9551.71875,On
2022-10-03 15:16:40,22.6875,20.1953125,11.2734375,11.3359375,9551.71875,On
2022-10-03 15:16:44,22.7265625,20.21875,11.3203125,11.3359375,9493.125,On
2022-10-03 15:16:48,22.78125,20.21875,11.3203125,11.234375,9493.125,On
2022-10-03 15:16:52,22.7890625,20.203125,11.3515625,11.3515625,9532.1875,On
2022-10-03 15:16:55,22.8125,20.234375,11.3515625,11.3828125,9454.0625,On
