0,0,0,0,0,0,0,0
2022-10-20 08:47:45,19.5078125,19.58844259510869,19.793130165289256,19.56875,0.0,False,0.0,False
2022-10-20 08:47:46,19.578125,19.626443614130437,19.74238119834712,19.615625,-338.6570315152256,Off,0.0,Off
2022-10-20 08:47:48,19.5546875,19.626443614130437,19.83542097107437,19.5609375,-73.63276149034857,Off,-166.13543927307427,Off
2022-10-20 08:47:50,19.5859375,19.603643002717405,19.843879132231393,19.646875,-73.63276149034857,Off,-166.13543927307427,Off
2022-10-20 08:47:52,19.6015625,19.63404381793478,19.83542097107437,19.5921875,-73.64174350074896,Off,-59.02053198026503,Off
2022-10-20 08:47:54,19.6015625,19.5732421875,19.886169938016536,19.5453125,-73.64174350074896,Off,-59.02053198026503,Off
2022-10-20 08:47:56,19.5546875,19.58844259510869,19.843879132231393,19.5296875,-73.58207130177215,Off,-59.03052613729684,Off
2022-10-20 08:47:58,19.6484375,19.626443614130437,19.818504648760324,19.63125,-73.58207130177215,Off,-59.03052613729684,Off
2022-10-20 08:48:00,19.5859375,19.64924422554347,19.860795454545467,19.6703125,-73.68849231729051,Off,-59.04403046429995,Off
2022-10-20 08:48:02,19.5078125,19.603643002717405,19.860795454545467,19.5453125,-73.68849231729051,Off,-59.04403046429995,Off
2022-10-20 08:48:04,19.5390625,19.64924422554347,19.8100464876033,19.5296875,-73.64233774714204,Off,-58.97128842173439,Off
2022-10-20 08:48:06,19.5546875,19.63404381793478,19.886169938016536,19.615625,-73.64233774714204,Off,-58.97128842173439,Off
2022-10-20 08:48:08,19.609375,19.63404381793478,19.83542097107437,19.615625,-73.62436281024803,Off,-59.039880760179756,Off
2022-10-20 08:48:10,19.578125,19.64924422554347,19.911544421487605,19.5453125,-73.6654201371808,Off,-59.168099970201915,Off
2022-10-20 08:48:12,19.609375,19.656844429347814,19.860795454545467,19.56875,-73.6654201371808,Off,-59.168099970201915,Off
2022-10-20 08:48:14,19.5546875,19.5732421875,19.911544421487605,19.584375,-73.55236213875564,Off,-59.052503829438585,Off
2022-10-20 08:48:16,19.5625,19.63404381793478,19.818504648760324,19.5921875,-73.72779323704373,Off,-58.87289278591054,Off
2022-10-20 08:48:18,19.6640625,19.656844429347814,19.860795454545467,19.6546875,-73.6802096981204,Off,-59.095513730515755,Off
2022-10-20 08:48:20,19.5859375,19.61124320652175,19.86925361570249,19.63125,-73.55709911983863,Off,-59.04759155519824,Off
2022-10-20 08:48:22,19.578125,19.61124320652175,19.843879132231393,19.6078125,-73.55709911983863,Off,-59.04759155519824,Off
2022-10-20 08:48:24,19.5859375,19.64924422554347,19.886169938016536,19.5296875,-73.67129552569978,Off,-59.05473722851866,Off
2022-10-20 08:48:26,19.515625,19.67204483695653,19.818504648760324,19.6078125,-73.68646921808546,Off,-58.91087825612944,Off
2022-10-20 08:48:28,19.5859375,19.656844429347814,19.911544421487605,19.56875,-73.68646921808546,Off,-58.91087825612944,Off
2022-10-20 08:48:30,19.6484375,19.67204483695653,19.886169938016536,19.5296875,-73.65191400393553,Off,-59.09336327907098,Off
2022-10-20 08:48:32,19.625,19.67204483695653,19.886169938016536,19.5921875,-73.65191400393553,Off,-59.09336327907098,Off
2022-10-20 08:48:34,19.5546875,19.656844429347814,19.818504648760324,19.521875,-73.6339770251564,Off,-58.961999344163615,Off
2022-10-20 08:48:36,19.6484375,19.67204483695653,19.911544421487605,19.6078125,-73.6339770251564,Off,-58.961999344163615,Off
2022-10-20 08:48:38,19.5859375,19.63404381793478,19.860795454545467,19.5453125,-73.6186053553382,Off,-59.06336692306122,Off
2022-10-20 08:48:40,19.625,19.64924422554347,19.818504648760324,19.50625,-73.66548016357572,Off,-58.94904001015525,Off
2022-10-20 08:48:42,19.5546875,26.048615828804344,19.945377066115697,19.5609375,-73.66548016357572,Off,-58.94904001015525,Off
2022-10-20 08:48:44,19.6640625,27.10504415760869,19.92846074380165,19.4984375,-82.43976260673827,Off,-59.14316920149289,Off
2022-10-20 08:48:46,19.6484375,19.58844259510869,19.843879132231393,19.4984375,-82.43976260673827,Off,-59.14316920149289,Off
2022-10-20 08:48:48,19.671875,19.61124320652175,19.843879132231393,19.5453125,-67.92147481708983,Off,-58.95969388896386,Off
2022-10-20 08:48:50,19.640625,19.603643002717405,19.860795454545467,19.5609375,-67.92147481708983,Off,-58.95969388896386,Off
2022-10-20 08:48:52,19.609375,19.67204483695653,19.92846074380165,19.50625,-73.69812740687122,Off,-59.12389646364608,Off
2022-10-20 08:48:54,19.5859375,19.626443614130437,19.860795454545467,19.5453125,-73.69812740687122,Off,-59.12389646364608,Off
2022-10-20 08:48:56,19.6640625,19.603643002717405,19.843879132231393,19.5296875,-73.57112817591779,Off,-58.959713718357534,Off
2022-10-20 08:48:58,19.53125,19.626443614130437,19.8100464876033,19.5296875,-73.6674437059182,Off,-58.958411568718056,Off
2022-10-20 08:49:00,19.6640625,19.770847486413032,19.86925361570249,19.56875,-73.91316803523017,Off,-59.12484438264975,Off
2022-10-20 08:49:02,19.609375,19.71004585597825,19.75083935950414,19.5296875,-73.57545588709053,Off,-58.8050179257505,Off
2022-10-20 08:49:04,19.6015625,19.71004585597825,19.860795454545467,19.5453125,-73.57545588709053,Off,-58.8050179257505,Off
2022-10-20 08:49:06,19.6484375,19.679645040760875,19.86925361570249,19.459375,-73.63194786837418,Off,-59.12494525017832,Off
2022-10-20 08:49:08,19.6875,19.740446671195656,19.886169938016536,19.4828125,-73.77273358044407,Off,-59.06746822731995,Off
