Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV1,Heater17 On,MV2,Heater18 On
2022-10-14 13:25:30,0.0,-110.203125,-172.203125,-23.671875,0.0,False,0.0,False
2022-10-14 13:25:32,0.0,-110.21875,-172.1328125,-23.65625,0.0,Off,0.0,Off
2022-10-14 13:25:34,0.0,-110.2578125,-172.203125,-23.65625,-53.89642624535446,Off,63.08415201654254,On
2022-10-14 13:25:36,0.0,-110.2421875,-172.234375,-23.65625,-19.11170061760501,Off,22.275621045816525,On
2022-10-14 13:25:38,0.0,-110.1875,-172.203125,-23.65625,-19.11170061760501,Off,22.275621045816525,On
2022-10-14 13:25:40,0.0,-110.203125,-172.3046875,-23.640625,-19.13401891121834,Off,22.311041101422337,On
2022-10-14 13:25:42,0.0,-110.2578125,-172.2578125,-23.640625,-19.13401891121834,Off,22.311041101422337,On
2022-10-14 13:25:44,0.0,-110.2421875,-172.234375,-23.6953125,-19.058205424782294,Off,22.174576969164264,On
2022-10-14 13:25:46,0.0,-110.21875,-172.1796875,-23.6328125,-19.13338792477135,Off,22.122039236096732,On
2022-10-14 13:25:48,0.0,-110.3125,-172.28125,-23.65625,-18.915823482021867,Off,22.402243431219517,On
2022-10-14 13:25:50,0.0,-110.328125,-172.1796875,-23.671875,-18.915823482021867,Off,22.402243431219517,On
2022-10-14 13:25:52,0.0,-110.2421875,-172.03125,-23.6875,-19.141451634529922,Off,21.952503839989156,On
2022-10-14 13:25:54,0.0,-110.296875,-172.1328125,-23.7109375,-18.981747818509955,Off,22.339987579663767,On
2022-10-14 13:25:56,0.0,-110.1875,-172.0546875,-23.7109375,-19.27738447267865,Off,22.03370985307223,On
2022-10-14 13:25:58,0.0,-110.2578125,-172.1328125,-23.6875,-19.27738447267865,Off,22.03370985307223,On
2022-10-14 13:26:00,0.0,-110.296875,-171.953125,-23.6328125,-18.98173346817494,Off,22.03267882834599,On
2022-10-14 13:26:02,0.0,-110.2734375,-172.2578125,-23.6328125,-19.11048833041815,Off,22.70173677925996,On
2022-10-14 13:26:04,0.0,-110.21875,-172.328125,-23.6875,-19.180894529428464,Off,22.374328963142883,On
2022-10-14 13:26:06,0.0,-110.296875,-172.078125,-23.6953125,-19.180894529428464,Off,22.374328963142883,On
2022-10-14 13:26:08,0.0,-110.3125,-172.109375,-23.7890625,-18.98692292968158,Off,22.008800703002073,On
2022-10-14 13:26:10,0.0,-110.2734375,-172.109375,-23.640625,-19.13399708288203,Off,22.175592672413792,On
2022-10-14 13:26:12,0.0,-110.3671875,-172.203125,-23.65625,-18.892875120740886,Off,22.357529143827147,On
2022-10-14 13:26:14,0.0,-110.2421875,-172.15625,-23.6953125,-18.892875120740886,Off,22.357529143827147,On
2022-10-14 13:26:16,0.0,-110.1484375,-172.15625,-23.640625,-19.293740352671435,Off,22.15961685358515,On
2022-10-14 13:26:18,0.0,-110.2578125,-172.15625,-23.71875,-19.293740352671435,Off,22.15961685358515,On
