Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,Heat F,Heat B
10:44:20,-155.2265625,-110.68665081521739,-93.96655475206612,4.2875,0,0
10:44:24,-155.16927,-110.87412,-93.96927,4.365625,1,0
10:44:27,-155.16145,-111.05906,-93.931305,4.336979,1,0
10:44:30,-155.20052,-111.15787,-93.97469,4.352604,1,0
10:44:33,-155.19792,-111.0236,-93.92045,4.3161454,1,0
10:44:36,-155.14583,-110.69172,-93.99909,4.3890624,1,1
10:44:39,-155.28125,-110.22811,-93.95029,4.3604164,1,0
10:44:42,-155.16927,-109.67075,-93.92587,4.3942704,0,0
10:44:45,-155.21355,-109.062744,-93.94215,4.3734374,0,0
10:44:48,-155.17448,-108.677666,-93.90689,4.402083,0,0
10:44:51,-155.14062,-108.40153,-93.98825,4.4203124,0,0
10:44:54,-155.18489,-108.32299,-93.95841,4.4411454,0,0
10:44:57,-155.14062,-108.27485,-93.88519,4.4359374,0,0
10:45:00,-155.19011,-108.32806,-93.94486,4.386458,0,0
10:45:03,-155.19011,-108.52819,-93.931305,4.402083,0,0
10:45:06,-155.25,-108.791664,-93.91232,4.44375,0,0
10:45:09,-155.19792,-109.09567,-93.93673,4.383854,1,0
10:45:12,-155.14583,-109.37942,-93.92045,4.4203124,0,0
10:45:16,-155.19011,-109.77462,-93.95571,4.415104,1,0
10:45:19,-155.19011,-110.08117,-93.90961,4.3421874,0,0
10:45:22,-155.16667,-110.2813,-93.88519,4.4229164,1,0
10:45:25,-155.2448,-110.28384,-93.95029,4.368229,0,0
10:45:28,-155.20573,-110.301575,-93.95571,4.368229,0,0
10:45:31,-155.29427,-110.27877,-93.98011,4.4203124,0,0
10:45:34,-155.32552,-110.18757,-93.985535,4.3604164,0,0
10:45:37,-155.18489,-110.2053,-93.97469,4.4072914,0,1
10:45:40,-155.22136,-110.24331,-93.953,4.3473954,1,0
10:45:44,-155.20052,-110.32184,-93.98825,4.3630204,0,0
10:45:47,-155.24219,-110.40798,-93.98011,4.4098954,1,0
10:45:50,-155.22917,-110.456116,-93.993675,4.4255204,1,0
10:45:53,-155.21094,-110.48651,-93.96113,4.402083,1,0
10:45:56,-155.1823,-110.38772,-93.94215,4.430729,1,0
10:45:59,-155.22917,-110.27877,-93.985535,4.3760414,0,0
10:46:03,-155.21355,-110.12424,-93.99909,4.448958,1,0
10:46:06,-155.20573,-110.02036,-93.97469,4.4203124,0,0
10:46:09,-155.27344,-109.898766,-94.00452,4.4229164,0,0
10:46:12,-155.27344,-109.71383,-93.985535,4.417708,0,0
10:46:15,-155.34114,-109.66569,-93.95841,4.4098954,0,0
10:46:19,-155.26302,-109.70876,-93.963844,4.446354,0,0
10:46:22,-155.3125,-109.746765,-94.00723,4.433333,1,0
10:46:25,-155.33594,-109.825294,-93.97469,4.4072914,1,0
10:46:28,-155.30208,-109.898766,-93.92588,4.433333,0,0
10:46:32,-155.33333,-109.88102,-94.018074,4.428125,0,1
10:46:35,-155.33333,-109.9241,-93.98011,4.4385414,0,0
10:46:39,-155.16145,-109.93677,-94.04791,4.428125,0,0
10:46:42,-155.16927,-110.06344,-93.98825,4.396875,1,0
10:46:46,-155.29427,-110.1977,-94.00723,4.365625,1,0
10:46:49,-155.17708,-110.2889,-94.00452,4.3604164,0,0
10:46:52,-155.29688,-110.37757,-93.98283,4.4098954,0,0
10:46:56,-155.26823,-110.30664,-93.93943,4.38125,0,0
10:46:59,-155.30469,-110.149574,-93.98825,4.4385414,0,0
10:47:03,-155.29688,-109.94183,-94.01536,4.38125,0,0
10:47:06,-155.25,-109.7949,-94.03434,4.4046874,0,0
10:47:10,-155.25,-109.62262,-94.0696,4.3578124,0,0
10:47:13,-155.28645,-109.54916,-94.00452,4.459375,0,0
10:47:17,-155.26562,-109.65809,-94.077736,4.368229,0,0
10:47:20,-155.30208,-109.86837,-94.00723,4.4098954,0,0
10:47:23,-155.34114,-109.97983,-94.03977,4.3942704,0,0
10:47:27,-155.25781,-110.185036,-94.00452,4.417708,1,0
10:47:31,-155.34895,-110.210365,-94.05332,4.38125,0,0
10:47:34,-155.28125,-110.40798,-94.0452,4.3161454,0,0
10:47:38,-155.32031,-110.266106,-94.058754,4.368229,1,0
10:47:41,-155.3177,-110.21543,-94.01266,4.383854,0,0
10:47:45,-155.25,-109.94943,-94.02079,4.3734374,0,0
10:47:49,-155.26562,-109.817696,-94.09672,4.3578124,0,0
10:47:52,-155.25261,-109.63022,-94.06418,4.3447914,0,0
10:47:56,-155.30208,-109.67835,-94.07502,4.370833,0,0
10:47:59,-155.25,-109.81262,-94.05604,4.321354,0,0
10:48:03,-155.25,-110.03303,-94.15096,4.3890624,1,0
10:48:07,-155.23698,-110.25344,-94.026215,4.3734374,1,0
10:48:10,-155.33333,-110.2053,-94.12655,4.303125,1,0
