Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV1,Heater17 On,MV2,Heater18 On
2022-10-06 15:28:07,-150.25,-97.8671875,-108.25,20.375,0.0,False,0.0,False
2022-10-06 15:28:09,-150.1875,-97.59375,-108.1796875,20.4609375,0.0,Off,0.0,Off
2022-10-06 15:28:13,-150.140625,-97.8203125,-107.953125,20.4296875,782.03125,On,1795.3125,On
2022-10-06 15:28:17,-150.1640625,-97.8359375,-107.828125,20.3984375,782.03125,On,1795.3125,On
2022-10-06 15:28:21,-150.1875,-97.8828125,-107.703125,20.3984375,788.28125,On,1770.3125,On
2022-10-06 15:28:25,-150.1171875,-97.765625,-107.46875,20.453125,788.28125,On,1770.3125,On
2022-10-06 15:28:29,-150.140625,-97.8828125,-107.0078125,20.5,788.28125,On,1700.78125,On
2022-10-06 15:28:32,-150.140625,0.0,-106.90625,20.4375,788.28125,On,1700.78125,On
2022-10-06 15:28:37,-138.9140625,-92.1015625,-89.875,28.3359375,210.15625,On,-12.5,Off
2022-10-06 15:28:41,-138.953125,-92.21875,-89.65625,28.265625,221.875,On,-34.375,Off
2022-10-06 15:28:45,-138.859375,-92.1015625,-89.5078125,28.359375,210.15625,On,-49.21875,Off
2022-10-06 15:28:49,-138.8984375,-92.1015625,-89.3828125,28.2734375,210.15625,On,-49.21875,Off
2022-10-06 15:28:53,-138.8984375,-92.21875,-89.546875,28.2265625,221.875,On,-45.3125,Off
2022-10-06 15:28:57,-138.9375,-92.0859375,-89.53125,28.296875,221.875,On,-45.3125,Off
2022-10-06 15:29:01,-138.8984375,-92.234375,-89.5625,28.2265625,223.4375,On,-43.75,Off
2022-10-06 15:29:05,-138.859375,-92.140625,-89.6875,28.25,214.0625,On,-31.25,Off
2022-10-06 15:29:09,-138.8984375,-92.125,-89.75,28.203125,214.0625,On,-31.25,Off
2022-10-06 15:29:13,-138.8828125,-92.171875,-89.921875,28.1875,217.1875,On,-7.8125,Off
2022-10-06 15:29:17,-138.859375,-92.1875,-90.0234375,28.15625,218.75,On,2.34375,On
2022-10-06 15:29:21,-138.859375,-92.21875,-90.1328125,28.1796875,221.875,On,13.28125,On
2022-10-06 15:29:25,-138.765625,-92.296875,-90.3359375,28.203125,229.6875,On,33.59375,On
2022-10-06 15:29:29,-138.8046875,-92.265625,-90.1171875,28.2109375,226.5625,On,11.71875,On
2022-10-06 15:29:33,-138.84375,-92.234375,-90.0390625,28.1796875,226.5625,On,11.71875,On
2022-10-06 15:29:37,-138.78125,-92.234375,-89.96875,28.2890625,223.4375,On,-3.125,Off
2022-10-06 15:29:41,-138.8203125,-92.234375,-89.796875,28.2265625,223.4375,On,-20.3125,Off
2022-10-06 15:29:45,-138.78125,-92.1875,-89.734375,28.203125,223.4375,On,-20.3125,Off
2022-10-06 15:29:49,-138.859375,-92.140625,-89.640625,28.1875,214.0625,On,-35.9375,Off
2022-10-06 15:29:53,-138.765625,-92.203125,-89.640625,28.2265625,220.3125,On,-35.9375,Off
2022-10-06 15:29:57,-138.765625,-92.125,-89.6875,28.1328125,220.3125,On,-35.9375,Off
2022-10-06 15:30:01,-138.8203125,-92.1015625,-89.890625,28.203125,210.15625,On,-10.9375,Off
2022-10-06 15:30:05,-138.6875,-92.015625,-89.984375,28.1875,201.5625,On,-1.5625,Off
2022-10-06 15:30:09,-138.8203125,-92.171875,-89.953125,28.2109375,201.5625,On,-1.5625,Off
2022-10-06 15:30:13,-138.7265625,-92.109375,-90.0234375,28.1875,210.9375,On,2.34375,On
2022-10-06 15:30:17,-138.78125,-92.1015625,-90.1953125,28.15625,210.15625,On,19.53125,On
2022-10-06 15:30:21,-138.7265625,-92.15625,-90.1328125,28.1328125,215.625,On,13.28125,On
2022-10-06 15:30:25,-138.6875,-92.1875,-90.1796875,28.1328125,215.625,On,13.28125,On
2022-10-06 15:30:29,-138.7265625,-92.03125,-90.0859375,28.1328125,203.125,On,8.59375,On
2022-10-06 15:30:33,-138.703125,-92.015625,-89.875,28.140625,201.5625,On,-12.5,Off
2022-10-06 15:30:37,-138.6875,-92.171875,-89.71875,28.1171875,217.1875,On,-28.125,Off
2022-10-06 15:30:41,-138.765625,-92.0859375,-89.625,28.109375,208.59375,On,-37.5,Off
2022-10-06 15:30:45,-138.6484375,-92.0,-89.53125,28.09375,208.59375,On,-37.5,Off
2022-10-06 15:30:49,-138.6484375,-91.9765625,-89.5625,28.1328125,197.65625,On,-43.75,Off
2022-10-06 15:30:53,-138.6484375,-91.9453125,-89.71875,28.109375,194.53125,On,-28.125,Off
2022-10-06 15:30:57,-138.78125,-92.03125,-89.671875,28.078125,194.53125,On,-28.125,Off
2022-10-06 15:31:01,-138.78125,-92.046875,-89.875,28.0703125,204.6875,On,-12.5,Off
2022-10-06 15:31:05,-138.7265625,-91.9765625,-89.984375,28.078125,204.6875,On,-12.5,Off
2022-10-06 15:31:09,-138.703125,-91.8984375,-90.0078125,28.0546875,189.84375,On,0.78125,On
2022-10-06 15:31:13,-138.703125,-92.046875,-90.0859375,28.0546875,204.6875,On,8.59375,On
2022-10-06 15:31:17,-138.5703125,-91.9609375,-90.0859375,28.0703125,196.09375,On,8.59375,On
2022-10-06 15:31:21,-138.703125,-91.9296875,-90.1328125,28.078125,192.96875,On,13.28125,On
2022-10-06 15:31:25,-138.78125,-92.0,-89.96875,28.078125,192.96875,On,13.28125,On
2022-10-06 15:31:29,-138.7421875,-91.9140625,-89.859375,28.046875,191.40625,On,-14.0625,Off
2022-10-06 15:31:33,-138.7421875,-92.0,-89.6875,28.0703125,200.0,On,-31.25,Off
2022-10-06 15:31:37,-138.6640625,-91.9609375,-89.578125,28.0703125,200.0,On,-31.25,Off
2022-10-06 15:31:41,-138.6640625,-91.8515625,-89.609375,28.0078125,185.15625,On,-39.0625,Off
2022-10-06 15:31:45,-138.765625,-91.859375,-89.578125,27.9609375,185.9375,On,-42.1875,Off
2022-10-06 15:31:49,-138.7265625,-91.9609375,-89.59375,27.9375,185.9375,On,-42.1875,Off
2022-10-06 15:31:53,-138.703125,-91.9296875,-89.765625,28.0,192.96875,On,-23.4375,Off
2022-10-06 15:31:57,-138.765625,-91.875,-89.84375,28.046875,192.96875,On,-23.4375,Off
2022-10-06 15:32:01,-138.6640625,-91.9609375,-89.921875,28.0,196.09375,On,-7.8125,Off
2022-10-06 15:32:05,-138.6640625,-91.9453125,-90.1171875,28.0078125,194.53125,On,11.71875,On
2022-10-06 15:32:09,-138.5703125,-91.8359375,-90.1328125,27.96875,194.53125,On,11.71875,On
2022-10-06 15:32:13,-138.6875,-91.8515625,-90.0703125,27.9453125,185.15625,On,7.03125,On
2022-10-06 15:32:17,-138.609375,-91.8046875,-90.1640625,28.0,180.46875,On,16.40625,On
2022-10-06 15:32:21,-138.6875,-91.8203125,-89.984375,27.96875,182.03125,On,-1.5625,Off
2022-10-06 15:32:25,-138.625,-91.8984375,-89.953125,27.9453125,189.84375,On,-4.6875,Off
2022-10-06 15:32:29,-138.5703125,-91.7734375,-89.765625,27.9453125,189.84375,On,-4.6875,Off
2022-10-06 15:32:33,-138.59375,-91.8203125,-89.765625,27.96875,182.03125,On,-23.4375,Off
2022-10-06 15:32:37,-138.6640625,-91.7265625,-89.765625,27.96875,172.65625,On,-23.4375,Off
2022-10-06 15:32:41,-138.6484375,-91.8359375,-89.78125,27.9375,183.59375,On,-21.875,Off
2022-10-06 15:32:45,-138.6484375,-91.8359375,-89.9375,27.9140625,183.59375,On,-6.25,Off
2022-10-06 15:32:49,-138.4921875,-91.7265625,-89.890625,27.921875,183.59375,On,-6.25,Off
2022-10-06 15:32:53,-138.53125,-91.7734375,-90.0078125,27.9375,177.34375,On,0.78125,On
2022-10-06 15:32:57,-138.609375,-91.7421875,-89.953125,27.9375,177.34375,On,0.78125,On
2022-10-06 15:33:01,-138.609375,-91.8515625,-90.2265625,27.9609375,185.15625,On,22.65625,On
2022-10-06 15:33:05,-138.5703125,-91.6953125,-90.0390625,27.9453125,185.15625,On,22.65625,On
2022-10-06 15:33:09,-138.6484375,-91.7265625,-90.0078125,27.890625,172.65625,On,0.78125,On
2022-10-06 15:33:13,-138.5703125,-91.7578125,-89.953125,28.0,175.78125,On,-4.6875,Off
2022-10-06 15:33:17,-138.53125,-91.7265625,-89.75,27.9140625,175.78125,On,-4.6875,Off
2022-10-06 15:33:21,-138.609375,-91.6796875,-89.515625,27.875,167.96875,On,-48.4375,Off
2022-10-06 15:33:25,-138.6640625,-91.7578125,-89.5625,27.875,175.78125,On,-43.75,Off
2022-10-06 15:33:29,-138.625,-91.7265625,-89.4765625,27.859375,175.78125,On,-43.75,Off
