Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,Heat F,Heat B
09:07:08,-156.51953,-110.67525,-93.39619,-9.360733,0,0
09:07:09,-156.59766,-110.690445,-93.301186,-9.296132,0,0
09:07:09,-156.47266,-110.823456,-93.255585,-9.258131,0,0
09:07:10,-156.33594,-110.78545,-93.28979,-9.269531,0,1
09:07:10,-156.4414,-110.85005,-93.24039,-9.235331,0,0
09:07:11,-156.34766,-110.96406,-93.24039,-9.303732,0,0
09:07:11,-156.4414,-110.99066,-93.32779,-9.269531,0,0
09:07:12,-156.42969,-111.08186,-93.29359,-9.311333,0,0
09:07:12,-156.40625,-111.271866,-93.301186,-9.284732,0,0
09:07:13,-156.35938,-111.19206,-93.26698,-9.277132,0,0
09:07:13,-156.38281,-111.36687,-93.259384,-9.22393,0,0
09:07:14,-156.35938,-111.423874,-93.19858,-9.2999325,0,0
09:07:14,-156.46094,-111.50748,-93.251785,-9.303732,0,1
09:07:15,-156.46094,-111.59868,-93.19858,-9.296132,0,0
09:07:15,-156.35938,-111.674675,-93.206184,-9.296132,0,0
09:07:16,-156.39062,-111.63667,-93.28218,-9.322733,0,0
09:07:16,-156.34766,-111.822876,-93.28218,-9.341734,0,0
09:07:17,-156.39062,-111.857086,-93.29358,-9.254331,0,1
09:07:17,-156.35938,-111.917885,-93.251785,-9.349334,0,0
09:07:18,-156.53125,-111.99008,-93.255585,-9.326532,0,0
09:07:18,-156.40625,-112.08888,-93.26698,-9.277132,0,0
09:07:19,-156.3711,-112.04329,-93.21758,-9.284732,0,0
09:07:19,-156.38281,-112.24089,-93.19098,-9.26193,1,1
09:07:20,-156.3711,-112.22949,-93.19098,-9.315132,0,0
09:07:20,-156.3711,-112.358696,-93.31638,-9.322733,1,1
09:07:21,-156.35938,-112.453705,-93.26698,-9.296132,0,0
09:07:21,-156.30078,-112.5449,-93.24039,-9.296132,0,0
09:07:22,-156.38281,-112.6209,-93.29358,-9.330334,0,1
09:07:22,-156.33594,-112.71211,-93.23278,-9.387335,1,0
09:07:23,-156.40625,-112.6893,-93.259384,-9.269531,0,0
09:07:23,-156.32422,-112.78811,-93.301186,-9.292332,0,0
09:07:24,-156.39453,-112.902115,-93.29358,-9.292332,0,0
09:07:24,-156.38281,-112.94011,-93.24039,-9.326532,1,0
09:07:25,-156.33594,-113.057915,-93.22518,-9.284732,0,0
09:07:25,-156.4414,-113.13392,-93.251785,-9.322733,0,1
09:07:26,-156.39062,-113.17192,-93.24419,-9.284732,0,0
09:07:26,-156.46484,-113.19852,-93.22138,-9.303732,0,0
09:07:27,-156.42969,-113.17952,-93.23279,-9.330334,0,0
09:07:27,-156.44922,-113.36572,-93.27838,-9.379734,0,0
09:07:28,-156.35938,-113.39232,-93.22519,-9.315132,0,0
09:07:28,-156.33594,-113.563324,-93.20618,-9.311333,0,0
09:07:29,-156.40625,-113.53673,-93.24039,-9.326532,0,0
09:07:29,-156.32422,-113.67353,-93.32779,-9.398735,1,0
09:07:30,-156.42578,-113.66593,-93.28218,-9.341734,0,0
09:07:30,-156.35938,-113.71533,-93.27838,-9.296132,1,1
09:07:31,-156.26953,-113.76854,-93.24039,-9.353134,0,0
09:07:31,-156.33594,-113.87874,-93.17578,-9.284732,0,1
09:07:32,-156.39453,-113.909134,-93.32019,-9.356934,0,1
09:07:32,-156.35938,-114.02314,-93.21758,-9.307532,1,0
09:07:33,-156.40625,-114.03074,-93.19098,-9.345533,1,0
09:07:33,-156.24219,-114.09914,-93.312584,-9.375935,0,1
09:07:34,-156.28906,-114.15614,-93.29358,-9.315132,0,0
09:07:34,-156.3125,-114.29675,-93.30118,-9.406335,0,1
09:07:35,-156.41797,-114.26634,-93.33539,-9.334133,0,0
09:07:35,-156.42969,-114.254944,-93.213776,-9.391134,0,0
09:07:36,-156.3711,-114.30435,-93.23279,-9.368334,0,0
09:07:36,-156.32422,-114.39935,-93.28979,-9.368334,1,0
09:07:37,-156.27734,-114.452545,-93.19098,-9.334133,1,0
09:07:37,-156.38281,-114.51715,-93.22138,-9.349334,0,0
09:07:38,-156.32422,-114.57796,-93.26698,-9.387335,1,1
09:07:38,-156.2461,-114.596954,-93.27458,-9.429135,0,0
09:07:39,-156.33594,-114.66156,-93.21758,-9.406335,0,0
09:07:39,-156.39062,-114.71095,-93.15298,-9.398735,1,0
09:07:40,-156.30078,-114.737564,-93.19098,-9.417735,1,0
09:07:40,-156.30078,-114.79836,-93.30118,-9.391134,0,1
09:07:41,-156.3125,-114.828766,-93.24039,-9.4025345,0,1
09:07:41,-156.3125,-114.86676,-93.16438,-9.322733,0,0
09:07:42,-156.30078,-114.91617,-93.32018,-9.364534,1,1
09:07:42,-156.32422,-114.95036,-93.251785,-9.391134,0,0
09:07:43,-156.40625,-114.98077,-93.19858,-9.334133,1,0
09:07:43,-156.3125,-115.03017,-93.23278,-9.364534,1,0
09:07:44,-156.28906,-115.00737,-93.209984,-9.4025345,1,0
09:07:44,-156.26562,-115.045364,-93.26698,-9.394935,1,1
09:07:45,-156.3711,-115.09477,-93.22518,-9.4025345,0,0
09:07:45,-156.30078,-115.20877,-93.32779,-9.368334,1,1
09:07:46,-156.33594,-115.22777,-93.308784,-9.391134,1,0
09:07:46,-156.38281,-115.19737,-93.18338,-9.394935,0,0
