Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV1,Heater17 On,MV2,Heater18 On
2022-10-17 05:22:58,-167.390625,-111.359375,-174.4296875,-25.2890625,-18.600879854096146,Off,23.203637370988844,On
2022-10-17 05:23:00,-167.2890625,-111.375,-174.28125,-25.34375,-18.600879854096146,Off,23.203637370988844,On
2022-10-17 05:23:02,-167.359375,-111.390625,-174.1796875,-25.3359375,-18.58178054607215,Off,22.854626377499933,On
2022-10-17 05:23:04,-167.265625,-111.3359375,-174.28125,-25.3046875,-18.58178054607215,Off,22.854626377499933,On
2022-10-17 05:23:06,-167.265625,-111.4296875,-174.359375,-25.359375,-18.559505812163543,Off,23.2571231140479,On
2022-10-17 05:23:08,-167.359375,-111.3359375,-174.359375,-25.34375,-18.559505812163543,Off,23.2571231140479,On
2022-10-17 05:23:10,-167.2890625,-111.4296875,-174.2578125,-25.3203125,-18.58918642241379,Off,23.000626374573063,On
2022-10-17 05:23:12,-167.2890625,-111.4140625,-174.4296875,-25.2890625,-18.58918642241379,Off,23.000626374573063,On
2022-10-17 05:23:14,-167.09375,-111.2890625,-174.4296875,-25.3203125,-18.755185909692617,Off,23.280824676861375,On
2022-10-17 05:23:16,-167.3359375,-111.4296875,-174.3828125,-25.34375,-18.755185909692617,Off,23.280824676861375,On
2022-10-17 05:23:18,-167.359375,-111.3359375,-174.3046875,-25.3046875,-18.592859112697212,Off,23.00241774045875,On
2022-10-17 05:23:20,-167.3359375,-111.2890625,-174.328125,-25.28125,-18.719392297611268,Off,23.143039351558176,On
2022-10-17 05:23:22,-167.484375,-111.375,-174.3046875,-25.3203125,-18.719392297611268,Off,23.143039351558176,On
2022-10-17 05:23:24,-167.390625,-111.4453125,-174.40625,-25.265625,-18.463401075889614,Off,23.199891595675883,On
2022-10-17 05:23:26,-167.4140625,-111.4140625,-174.2265625,-25.28125,-18.643261764470832,Off,22.79161261310894,On
2022-10-17 05:23:28,-167.265625,-111.4296875,-174.1484375,-25.28125,-18.56549615821296,Off,22.913547643595187,On
2022-10-17 05:23:30,-167.265625,-111.3203125,-174.28125,-25.3359375,-18.56549615821296,Off,22.913547643595187,On
2022-10-17 05:23:32,-167.390625,-111.4296875,-174.2265625,-25.265625,-18.58918642241379,Off,23.1242300476168,On
2022-10-17 05:23:34,-167.3125,-111.484375,-174.328125,-25.28125,-18.58918642241379,Off,23.1242300476168,On
2022-10-17 05:23:36,-167.3359375,-111.3203125,-174.3046875,-25.2890625,-18.71846716020319,Off,23.15715486692959,On
2022-10-17 05:23:38,-167.390625,-111.375,-174.203125,-25.34375,-18.528993413039622,Off,22.90052475439424,On
2022-10-17 05:23:40,-167.4375,-111.3203125,-174.359375,-25.2109375,-18.718325010335594,Off,23.358309981523654,On
2022-10-17 05:23:42,-167.390625,-111.359375,-174.28125,-25.25,-18.718325010335594,Off,23.358309981523654,On
2022-10-17 05:23:44,-167.5078125,-111.390625,-174.328125,-25.3203125,-18.551964671650584,Off,23.083632998291016,On
2022-10-17 05:23:46,-167.4609375,-111.4296875,-174.1484375,-25.359375,-18.529941905995077,Off,22.759474049799103,On
2022-10-17 05:23:48,-167.4375,-111.375,-174.2265625,-25.25,-18.695274524414796,Off,23.183553311451,On
2022-10-17 05:23:50,-167.390625,-111.359375,-174.359375,-25.3359375,-18.695274524414796,Off,23.183553311451,On
2022-10-17 05:23:52,-167.4609375,-111.4296875,-174.40625,-25.3203125,-18.54758024569632,Off,23.27698618162833,On
2022-10-17 05:23:54,-167.4140625,-111.484375,-174.2578125,-25.265625,-18.54758024569632,Off,23.27698618162833,On
2022-10-17 05:23:56,-167.4375,-111.4140625,-174.3828125,-25.1484375,-18.607645267483836,Off,23.112591904808724,On
2022-10-17 05:23:58,-167.359375,-111.4453125,-174.3046875,-25.28125,-18.53514209566952,Off,22.97891934143107,On
